timestamp,city,temperature,humidity,pressure,wind_speed,aqi,pm2_5
2026-05-04 11:16:05,Fes,18.08,67,1011,2.06,2,3.45
2026-05-04 10:16:05,Fes,18.08,67,1011,2.06,2,3.58
2026-05-04 09:16:05,Fes,18.08,67,1011,2.06,1,3.39
2026-05-04 08:16:05,Fes,18.08,67,1011,2.06,1,3.5
2026-05-04 07:16:05,Fes,18.08,67,1011,2.06,1,3.48
2026-05-04 06:16:05,Fes,18.08,67,1011,2.06,1,3.43
2026-05-04 05:16:05,Fes,18.08,67,1011,2.06,1,3.46
2026-05-04 04:16:05,Fes,18.08,67,1011,2.06,1,3.56
2026-05-04 03:16:05,Fes,18.08,67,1011,2.06,1,3.62
2026-05-04 02:16:05,Fes,18.08,67,1011,2.06,1,3.54
2026-05-04 01:16:05,Fes,18.08,67,1011,2.06,1,3.4
2026-05-04 00:16:05,Fes,18.08,67,1011,2.06,1,3.25
2026-05-03 23:16:05,Fes,18.08,67,1011,2.06,1,3.18
2026-05-03 22:16:05,Fes,18.08,67,1011,2.06,1,3.22
2026-05-03 21:16:05,Fes,18.08,67,1011,2.06,2,3.37
2026-05-03 20:16:05,Fes,18.08,67,1011,2.06,2,3.48
2026-05-03 19:16:05,Fes,18.08,67,1011,2.06,2,3.6
2026-05-03 18:16:05,Fes,18.08,67,1011,2.06,2,3.89
2026-05-03 17:16:05,Fes,18.08,67,1011,2.06,2,4.36
2026-05-03 16:16:05,Fes,18.08,67,1011,2.06,2,4.91
2026-05-03 15:16:05,Fes,18.08,67,1011,2.06,2,5.65
2026-05-03 14:16:05,Fes,18.08,67,1011,2.06,2,6.43
2026-05-03 13:16:05,Fes,18.08,67,1011,2.06,2,7.45
2026-05-03 12:16:05,Fes,18.08,67,1011,2.06,2,7.49
2026-05-03 11:16:05,Fes,18.08,67,1011,2.06,2,6.52
2026-05-03 10:16:05,Fes,18.08,67,1011,2.06,2,5.32
2026-05-03 09:16:05,Fes,18.08,67,1011,2.06,1,3.71
2026-05-03 08:16:05,Fes,18.08,67,1011,2.06,1,3.56
2026-05-03 07:16:05,Fes,18.08,67,1011,2.06,1,3.57
2026-05-03 06:16:05,Fes,18.08,67,1011,2.06,1,3.61
2026-05-03 05:16:05,Fes,18.08,67,1011,2.06,1,3.62
2026-05-03 04:16:05,Fes,18.08,67,1011,2.06,1,3.69
2026-05-03 03:16:05,Fes,18.08,67,1011,2.06,1,3.82
2026-05-03 02:16:05,Fes,18.08,67,1011,2.06,1,4.24
2026-05-03 01:16:05,Fes,18.08,67,1011,2.06,1,4.78
2026-05-03 00:16:05,Fes,18.08,67,1011,2.06,1,5.09
2026-05-02 23:16:05,Fes,18.08,67,1011,2.06,2,4.93
2026-05-02 22:16:05,Fes,18.08,67,1011,2.06,2,4.77
2026-05-02 21:16:05,Fes,18.08,67,1011,2.06,2,4.71
2026-05-02 20:16:05,Fes,18.08,67,1011,2.06,2,4.74
2026-05-02 19:16:05,Fes,18.08,67,1011,2.06,2,4.72
2026-05-02 18:16:05,Fes,18.08,67,1011,2.06,2,4.76
2026-05-02 17:16:05,Fes,18.08,67,1011,2.06,2,4.83
2026-05-02 16:16:05,Fes,18.08,67,1011,2.06,2,4.9
2026-05-07 15:16:05,Casablanca,22.93,49,1011,5.08,3,3.0
2026-05-07 14:16:05,Casablanca,22.93,49,1011,5.08,3,2.96
2026-05-07 13:16:05,Casablanca,22.93,49,1011,5.08,3,2.98
